Accession,LOG2 foldchange of130N Sample,Adjusted P Value130N Sample
NP_001307707.1,0.209397959,0.041180666
NP_055892.2,0.399804515,0.120048957
NP_056464.1,-0.122346226,0.029975129
NP_071446.2,0.023540612,0.006243992
NP_001116295.1,-0.188904082,0.038209442
NP_000990.1,-0.156640941,0.030814841
NP_037364.1,-0.104059803,0.033108238
NP_001358423.1,0.083355656,0.022547153
NP_060832.1,0.017591466,0.004435002
NP_001353221.1,-0.823620826,0.283382947
NP_002115.2,-0.79165982,0.845878475
NP_001303991.1,0.174875241,0.048048118
NP_001316422.1,0.051937521,0.009237524
NP_001338206.1,0.025819404,0.0160245
NP_001159583.1,0.569024987,0.139580146
NP_037450.2,0.138165489,0.041114493
NP_055416.2,0.745535767,0.253482627
NP_057383.2,-0.035895171,0.025337358
NP_000018.2,-0.33509221,0.082937549
XP_016874792.1,0.178835014,0.037017149
NP_061929.2,-0.453658438,0.107592125
NP_006268.2,-0.023830447,0.004659661
NP_001032248.1,0.326000068,0.111749936
NP_064528.1,-0.203607837,0.097021793
NP_001093326.2,-0.000666688,0.000127343
NP_006318.1,0.024734991,0.005415801
NP_001298240.1,-0.309531676,0.104910284
NP_009034.2,-0.243102928,0.109562193
NP_068602.2,-0.245129943,0.053060961
XP_016873372.1,-0.445728104,0.112549217
NP_002922.2,-0.117652603,0.045188008
NP_060864.1,0.351764327,0.074503734
NP_006322.4,-0.264865025,0.312249932
NP_057584.2,-0.144518087,0.040521542
NP_004789.1,0.119524706,0.021323677
XP_005263764.1,-0.298572282,0.074386377
XP_016878010.1,0.13629962,0.031555823
NP_006432.1,0.096250041,0.021036146
NP_060822.2,0.050172944,0.015858688
NP_064576.1,-0.356383077,0.125503455
NP_005580.1,0.208735549,0.040344753
NP_001015877.1,-0.114177052,0.047886767
NP_689759.2,-0.001999241,0.000483547
XP_011515960.1,0.024327855,0.006021658
NP_000629.3,0.832286258,0.149472593
NP_510868.1,-0.136413025,0.024373105
NP_003578.2,-0.306909403,0.100206894
NP_036392.2,-0.102342214,0.029159518
NP_055448.1,-0.084113479,0.065287227
XP_006712933.1,0.208811149,0.056399249
XP_016856320.1,0.273316651,0.093219612
NP_006262.1,0.651508205,0.158714076
NP_053582.2,-0.072555582,0.023119181
NP_001273345.1,0.127498309,0.155603303
NP_987093.1,0.034630333,0.100732057
NP_036606.2,0.043117877,0.010807423
XP_005270993.1,-0.152202727,0.04412995
NP_004613.1,0.067645149,0.021690744
NP_060537.3,-0.552847157,0.159474798
NP_786924.2,0.309159783,0.055907572
NP_996670.1,-0.497343022,0.112526705
NP_110438.1,-0.12878995,0.034283309
NP_005101.1,0.563759683,0.112678532
NP_006003.1,-0.045322534,0.014558356
NP_055643.1,0.056490381,0.009752569
NP_001287894.1,-0.100061658,0.027175286
NP_001093631.1,0.313092448,0.114404357
XP_006721703.1,-0.175003544,0.03108395
XP_024306762.1,-0.066586126,0.013633261
NP_001180197.1,0.39599053,0.088847403
NP_002346.1,0.269006681,0.065456312
NP_060531.2,-0.642380567,0.204085263
NP_115898.2,-0.147626255,0.049494679
NP_003013.1,-0.463565346,0.121568637
XP_011536034.1,0.155671378,0.038913537
NP_054766.1,-1.100077124,0.36172968
NP_079216.4,0.351433558,0.112137976
NP_000908.2,-0.02068681,0.006241988
NP_064574.1,0.00173388,0.00123469
NP_001139488.1,0.644512653,0.141984043
XP_005264696.2,-0.097129085,0.025996056
NP_001139686.1,0.328774321,0.072769368
NP_653182.1,0.476241232,0.444730264
NP_848696.1,-0.308748028,0.118367201
NP_005994.2,-0.277749313,0.197955309
NP_006398.1,-0.253836293,0.048377596
NP_076983.1,0.163993361,0.038981446
NP_056235.5,0.24736384,0.08508641
NP_064550.3,-0.162951593,0.040643624
NP_002804.2,0.193185081,0.053221386
NP_064551.3,-0.094672693,0.018581865
NP_037467.2,0.35365696,0.122112223
NP_001005369.1,0.004817615,0.001485015
NP_002757.2,0.317765071,0.130560511
NP_003192.1,-0.416998237,0.170180943
NP_066301.1,0.262995729,0.074509122
NP_065134.1,0.280397958,0.09034132
NP_061910.1,0.115351691,0.034966025
XP_024307296.1,-0.31382299,0.115184562
NP_003394.1,-0.062379469,0.012596313
NP_001278357.1,-0.417366772,0.199288149
NP_057460.3,0.492538565,0.114606018
NP_037377.1,0.077932771,0.021872637
NP_006741.1,0.369408622,0.114909755
NP_006519.1,1.957382996,3.381414271
XP_006723226.1,-0.044356778,0.0096239
NP_076994.2,0.275279137,0.058499315
NP_055063.1,-0.105718342,0.034735724
XP_011526467.1,-0.027326237,0.008860576
NP_009135.4,-0.049053476,0.034818976
NP_000973.2,-0.303332387,0.291249923
NP_660309.1,-0.097135592,0.031832611
NP_065941.2,-0.10496089,0.033777047
NP_001171795.2,0.756553236,0.317727836
NP_001340975.1,0.089863858,0.023215016
NP_150241.2,0.381896271,0.107266404
NP_001258803.1,-0.266249992,0.088109771
XP_005264324.1,0.244181496,0.083219972
NP_055054.1,-0.1797125,0.029875995
NP_001338285.1,0.252112869,0.043777886
NP_078895.2,-0.080600319,0.023528991
XP_024302907.1,0.126204994,0.030439128
NP_001012750.1,0.09396288,0.022596722
NP_066949.2,0.240378262,0.05783816
NP_036270.1,-0.306763299,0.083204913
NP_001304653.1,-0.262444943,0.191502857
NP_001858.1,-0.551476782,0.19082181
XP_024306481.1,-0.031892444,0.006754539
NP_001003800.1,-0.09899365,0.158426167
NP_115609.2,-0.555208216,0.184001151
NP_001265281.1,0.509277979,0.312560815
NP_001243000.2,0.342104251,0.087344455
NP_001018080.1,0.58690587,0.16550683
NP_612430.2,-0.17282579,0.035278955
NP_112487.1,-0.492789633,0.139227655
NP_001193570.2,-0.08834299,0.027824799
NP_002487.1,-0.16708681,0.063551401
NP_945187.1,-0.345547522,0.062383407
NP_002386.1,0.233354932,0.050037157
NP_001265432.1,-0.156768307,0.104221455
NP_054885.1,-0.260103833,0.078211738
NP_055829.2,-0.004231585,0.002433708
NP_079426.2,0.19254078,0.072913595
NP_055958.2,0.206354058,0.068556105
NP_009208.2,0.00220922,0.000514535
NP_060935.2,0.014543938,0.011614158
NP_060855.2,-0.411458848,0.117036107
NP_056986.2,0.3292037,0.057106186
NP_002805.1,0.217991242,0.042821544
NP_055862.1,0.353650824,0.070595266
NP_001265552.1,0.205421299,0.0685035
NP_003633.2,0.122549226,0.02216224
NP_690866.1,-0.084795816,0.019724953
NP_075567.2,0.083914406,0.120500804
NP_056518.2,-0.061417877,0.019683579
NP_597677.2,-0.132101467,0.038545728
NP_001265485.1,0.188351105,0.094062122
NP_573403.1,0.117361273,0.021007812
NP_001244066.1,0.492789485,0.092077877
NP_055851.1,0.577734241,0.199368864
NP_001127910.1,-0.069952167,0.020847551
XP_006720310.1,-0.270002282,0.064347281
NP_008817.1,0.008315114,0.005396951
XP_011540699.1,-0.162525293,0.084258749
NP_009017.1,0.103687159,0.022209734
XP_016877241.1,0.048137358,0.008009819
XP_006715910.1,-0.401217113,0.077338532
XP_024305924.1,0.028581326,0.008605641
NP_116219.2,-0.194301554,0.066025859
XP_011526372.1,-0.365814806,0.124585072
NP_001035997.2,-0.252182602,0.054591458
NP_683707.3,0.242114559,0.049750423
NP_077295.1,-0.252867163,0.061375742
NP_001304712.1,0.154616682,0.045931581
XP_011519406.1,0.097707244,0.031645196
NP_002063.2,0.068827319,0.023883782
NP_001304040.1,-0.067872208,0.021519607
NP_003621.1,0.03654974,0.010767391
NP_061156.1,0.681311134,0.584395387
NP_057632.2,0.26866536,0.128144419
NP_002563.1,0.139021543,0.04650687
NP_001129665.1,-0.039271363,0.011039597
NP_006807.1,0.26546309,0.055729389
NP_005923.3,-0.295233868,0.061171713
NP_001353732.1,-0.103453007,0.024790401
NP_002778.1,0.216623062,0.04978127
NP_056156.2,-0.227009896,0.087069837
NP_004302.1,0.131272466,0.065208485
NP_062552.2,0.364673995,0.074506562
NP_001153239.1,-0.322021624,0.112308211
NP_001333694.1,0.078867118,0.02295584
NP_000480.3,-1.026740308,0.179235601
NP_054765.1,-0.069945214,0.140635452
NP_037520.1,0.109572336,0.023407877
XP_005250727.1,-0.211528916,0.036069167
NP_001298127.1,0.152527749,0.051112488
NP_055385.3,0.930118419,0.335135007
NP_002766.1,0.194965656,0.059082309
NP_005179.2,0.321011791,0.109280964
NP_001032583.1,0.112226317,0.047247301
XP_006719407.1,-0.122673775,0.037537894
NP_001308967.1,-0.090837046,0.044370448
XP_016870597.1,0.468239199,0.091980031
XP_011507514.1,0.313948693,0.074885769
NP_057093.1,0.208870119,0.037807217
NP_001127704.1,0.012663896,0.003646343
NP_115700.1,-0.297189972,0.115121064
XP_024302967.1,0.194901964,0.052500003
NP_001291937.1,-0.2616837,0.088231065
NP_001008895.1,0.106015569,0.027183785
NP_002484.1,-0.350042868,0.063316446
NP_009139.1,-0.046126893,0.013854865
XP_011518601.1,0.385562472,0.121351272
XP_005248611.1,-0.120696013,0.038806791
NP_036585.1,0.429153433,0.11810735
NP_057159.2,0.224070299,0.063873803
NP_689942.2,-0.150631994,0.030496697
NP_055020.1,-0.103745585,0.033166045
NP_003655.3,-0.043503384,0.013895727
NP_001026904.2,0.0118026,0.002016426
NP_057388.1,-0.256535475,0.06555319
NP_060309.2,-0.189120877,0.042274939
NP_001511.2,0.059251089,0.011954273
NP_008841.2,-0.198694565,0.059346522
NP_002480.1,-0.215104897,0.06991762
NP_001074930.1,-0.025570279,0.004147205
XP_005265738.1,-0.076927794,0.029085661
NP_055209.2,-0.339149201,0.106249673
NP_057017.1,-0.507582008,0.559708778
NP_001358262.1,-0.279887391,0.094119218
NP_001124163.1,0.322924112,0.147594977
NP_056525.2,0.009438465,0.004165935
NP_001257817.1,0.303432966,0.101231253
NP_055701.1,0.044899192,0.011754224
NP_003245.1,1.154181468,0.21864203
NP_001269951.1,0.675241852,0.129201216
NP_001119653.1,-0.249667268,0.058357061
NP_001309201.1,0.307815193,0.098576231
NP_079120.1,-0.263114464,0.047817281
NP_694992.2,0.167836776,0.578509067
NP_055580.1,0.023223485,0.005375766
NP_001545.2,0.239080522,0.098847209
NP_060238.3,0.232375814,0.077338673
NP_057053.1,0.03458401,0.012178726
XP_005253658.1,-0.195752659,0.034579034
NP_001123577.1,0.073913893,0.012437041
NP_001310303.1,0.050439672,0.013964862
NP_002785.1,0.064334553,0.034479805
NP_004468.1,-0.144388758,0.046936961
NP_076970.1,0.002083083,0.000375505
XP_024302662.1,0.088487723,0.027298275
NP_001035830.1,0.634326736,0.118317422
NP_004389.2,0.174164593,0.044304854
NP_001272807.1,0.273930271,0.071759556
XP_005257725.1,0.135853923,0.033348279
NP_573571.1,0.078134543,0.020652291
NP_060377.1,-0.211529397,0.039971957
NP_001305428.1,-0.03726372,0.008570653
NP_853553.1,0.176924329,0.083314498
NP_001257655.1,0.087085729,0.017375436
NP_115727.5,0.188871013,0.046176939
XP_005273739.1,-0.438678601,0.115363724
NP_001127853.1,0.41863011,0.105763265
NP_055410.1,-0.234932633,0.138641439
NP_001306045.1,0.313975461,0.089619615
NP_113640.1,-0.095239953,0.030836099
NP_000777.1,0.520506791,0.177704956
NP_644810.1,0.105247052,0.020485835
NP_115737.1,-0.273069048,0.06727805
NP_001035526.1,0.559720156,0.141727146
NP_009031.1,-0.191928028,0.060500862
NP_079498.2,0.435158368,0.080192364
NP_001317566.1,-0.177595821,0.058416758
NP_001275.1,0.28844053,0.257146983
NP_037453.1,0.021901452,0.003589761
NP_060668.2,-0.17822156,0.060195296
XP_011537442.1,-0.240142277,0.044906852
NP_001744.2,-0.048387982,0.049704798
NP_001303963.1,0.239867889,0.06583697
XP_005255532.2,0.005456426,0.001743958
NP_073616.6,0.444396469,0.10689079
XP_005261794.1,-0.679762384,0.245850676
NP_002196.4,0.913062277,0.341255931
NP_067075.1,0.502968382,0.09923476
NP_112486.1,0.464357935,0.133523769
NP_001009923.1,-0.256009652,0.060912418
NP_079434.3,0.377408806,0.09398225
NP_955369.1,0.028234027,0.006977664
NP_001034581.1,-0.039562519,0.011337458
NP_054894.1,-0.112794954,0.020115609
NP_001306086.1,0.297361947,0.115511985
NP_077719.2,-0.353615704,0.065644465
NP_001305771.1,0.063254782,0.017651008
NP_001353346.1,0.3006095,0.05345697
NP_065700.1,-0.032881228,0.005413273
NP_659412.3,0.550440636,1.845317509
XP_006712541.1,0.066920696,0.02289335
NP_001351042.1,-0.378403393,0.130332621
NP_001129511.1,0.393978226,0.215180709
NP_005860.2,-0.41051229,0.072820158
NP_659486.2,0.216836856,0.057520618
NP_055969.1,0.10772372,0.077420063
NP_056238.2,-0.143295966,0.047885961
NP_057479.2,0.157098538,0.049690262
NP_071436.1,1.431572989,0.285710301
XP_011518907.1,0.331610557,0.064723215
NP_055288.1,-0.059272909,0.015304572
NP_057395.1,-0.207497949,0.123549207
NP_001070867.1,-0.007671388,0.001415203
NP_001244941.2,0.249536592,0.076714295
XP_005248457.1,-0.161167577,0.050656469
NP_078813.1,0.248225868,0.084967735
NP_001248340.1,-0.060328052,0.017158769
NP_001837.2,-0.008010564,0.002443711
NP_005768.1,0.00437418,0.001285196
XP_011528984.1,0.203490235,0.037450718
NP_005430.1,0.036134161,0.010008578
NP_003369.2,-0.109388754,0.034752366
NP_004544.1,-0.074287684,0.023207193
NP_150597.1,-0.120637196,0.038923483
NP_689968.1,-0.381450891,0.111364606
NP_001135890.1,-0.284771453,0.055106882
NP_001287829.1,-0.420394777,0.118106095
NP_001018118.1,-0.078053659,0.022337036
NP_065796.2,0.212459051,0.037756292
XP_024306706.1,-0.023517816,0.005593804
NP_003786.1,-0.165583761,0.040671948
NP_056311.2,0.478128396,0.113534405
XP_016882478.1,0.192596112,0.061657275
XP_006715197.1,-0.13802182,0.053279179
NP_001284505.1,0.051298867,0.021635715
NP_066961.2,0.091666911,0.060708571
NP_000394.2,0.346127013,0.360526689
NP_079110.1,0.032734871,0.008175997
NP_001155973.1,0.017547058,0.004340653
NP_000382.3,0.659464926,0.17015269
XP_011539620.1,0.422012867,0.209993809
NP_789845.1,0.296783016,0.065308674
NP_001768.1,-0.084512578,0.02529547
NP_004271.1,0.077517748,0.025335549
NP_001287783.1,0.310753626,0.062878375
NP_001013725.2,0.377399276,0.123560217
NP_065880.2,0.453576073,0.12645803
XP_011534268.1,-0.104921559,0.031114023
NP_003084.1,-0.208715008,0.060391433
NP_031388.2,-0.318918261,0.075576603
NP_004081.1,0.149031322,0.049021241
NP_852615.1,0.175004202,0.056694896
NP_005472.2,0.08351639,0.015660056
NP_067045.1,-0.208458614,0.045125755
NP_001032354.1,-0.015219072,0.004404301
NP_001274730.1,0.217445353,0.067740365
NP_001129166.1,0.130274829,0.059006968
NP_001353410.1,-0.06103292,0.019478081
NP_001013416.1,0.32895854,0.070916078
XP_011522496.1,-0.222621201,0.067248187
XP_024308560.1,0.286219942,0.099327077
XP_011517136.1,0.041677207,0.006941311
NP_659477.2,-0.092925178,0.077229601
XP_016879383.1,-0.053055035,0.012670121
XP_005273855.1,0.379716865,0.084605396
NP_003126.1,-0.433110162,0.100423878
NP_056157.1,-0.352478732,0.106540837
NP_002952.1,0.204719283,0.075258403
NP_001844.3,0.097856924,0.027827961
XP_005247515.1,0.119900377,0.036246986
NP_001127867.1,-0.159790577,0.048981348
NP_060726.3,-0.296671501,0.057071925
NP_444278.1,-0.180863799,0.042529324
NP_005794.1,-0.074212197,0.020565718
NP_001116827.1,-0.022633363,0.009548944
NP_036329.3,0.059322887,0.018999936
NP_653195.2,0.157385408,0.031798064
NP_001171634.2,-0.280193379,0.086856844
NP_001316044.1,0.158007947,0.05248278
NP_001035521.1,-0.185642588,0.057959346
NP_004633.1,-0.272256144,0.058628085
NP_002659.1,-0.087047109,0.029850953
NP_061830.3,-0.02458226,0.007825563
NP_002809.2,0.288168783,0.097262066
NP_689794.1,0.392121534,0.153827621
NP_001104792.1,0.248589718,0.05745686
XP_006712643.1,0.150714494,0.039201326
NP_056449.1,0.292361185,0.054705102
NP_004137.2,-0.660603871,0.977962428
XP_016885151.1,0.384219308,0.124512234
XP_024303241.1,-0.291203414,0.088473804
NP_001352009.1,-0.060284377,0.01949006
XP_016875377.1,-0.353876935,0.256043506
XP_011538278.1,0.288365541,0.181921651
NP_653324.1,-0.124352978,0.028261086
NP_001350.1,0.341088964,0.080873692
XP_005258334.1,0.029290049,0.008656178
NP_689895.2,-2.05E-05,5.57E-06
NP_000296.2,-0.072686416,0.023301663
NP_001305268.1,0.37416471,0.077362747
XP_005271584.1,0.026876689,0.020717246
NP_065145.2,-0.005992461,0.001723204
XP_024307971.1,-0.051004567,0.014853404
NP_000937.1,-0.072460961,0.012722605
XP_006715037.1,-0.163344263,0.04081793
XP_005256724.1,0.31678377,0.069158948
NP_001159968.1,-0.410661953,0.097967542
XP_011530342.2,0.080777807,0.018313996
NP_065757.1,-0.359632365,0.12478381
XP_016876870.1,0.270307506,0.064332354
NP_000518.1,-0.491512986,0.174225239
NP_002258.2,-0.545327829,0.098032215
NP_060062.2,-0.538016102,0.192094271
NP_036465.2,-0.378034815,0.073414896
NP_079140.2,0.558938178,0.113513182
NP_001243805.1,0.19800683,0.054720784
NP_002803.2,0.218810985,0.074228963
NP_003464.1,-0.162824158,0.045972126
NP_001273554.1,-0.354217864,0.073197399
NP_061856.1,-0.249332097,0.085193421
NP_891988.1,0.15526387,0.034114875
NP_005984.3,0.384827095,0.083799469
NP_001008389.1,-0.041505735,0.00966543
NP_000849.1,0.205144673,0.064677057
XP_005266358.1,-0.149847229,0.048449752
NP_002496.1,-0.345828085,0.060404492
NP_075067.2,0.285807858,0.075606152
NP_085056.2,0.323126408,0.057844597
NP_659400.3,0.105765999,0.021749878
NP_079229.2,0.446602426,0.080573759
NP_115544.1,-0.460692849,0.15679418
XP_016874257.1,-0.109902088,0.034678932
XP_006723900.1,0.07521254,0.021512208
XP_016867131.1,-0.000271027,7.56E-05
NP_001070984.1,0.078768664,0.025037614
NP_001124313.1,0.534276156,0.189562354
NP_059140.1,-0.47402711,0.168467167
NP_060536.3,-0.059469587,0.016161886
NP_057513.1,0.547606306,0.111514362
NP_055417.1,0.202681044,0.049380634
NP_009148.2,-0.027951925,0.008492086
NP_037380.1,-0.240606966,0.075458829
NP_004779.2,0.116838946,0.019473069
NP_009166.2,-0.279521186,0.082188479
NP_055578.2,-0.191599005,0.060679583
NP_004995.1,-1.07211709,0.35443314
XP_005246300.1,0.028159649,0.005127557
NP_055097.2,0.090530425,0.018165713
NP_001091977.1,0.084115711,0.016394686
XP_005266395.1,-0.00444739,0.000925326
NP_004619.3,0.101315057,0.025001709
NP_004704.3,0.269529165,0.942339014
NP_001159858.1,0.021998908,0.004198598
NP_001265234.1,-0.424373441,0.160541304
NP_057673.2,0.549703348,0.110333971
NP_001268222.1,0.174412861,0.058526401
NP_001136018.1,0.132632462,0.030316305
NP_001801.1,0.081431773,0.022682511
NP_002387.1,0.135853464,0.042695509
NP_001276990.1,0.932308757,0.265345866
NP_003003.3,0.431291194,0.282016929
NP_001137462.1,-0.185384655,0.034706646
NP_001505.1,-0.370494182,0.093837363
NP_060703.3,0.000196832,6.11E-05
NP_001238965.1,0.015058769,0.004554524
NP_065747.1,-0.273051093,0.058654426
NP_003083.1,-0.544250106,0.693997141
XP_016879247.1,-0.236776005,0.077220714
NP_004385.1,-0.378807822,0.09803809
XP_016880042.1,-0.070035212,0.022892042
NP_076417.2,0.341827178,0.107958322
NP_001129134.1,0.076506719,0.012820708
NP_009145.1,0.170116799,0.057372512
NP_079431.1,0.223442546,0.145551298
NP_006464.1,-0.175912093,0.039120559
NP_001340896.1,-0.188564563,0.040028378
NP_060283.3,0.180444921,0.049028652
NP_055886.1,-0.097724298,0.024128924
XP_024306633.1,0.13914421,0.041846329
NP_005605.1,0.140760562,0.025622842
XP_005256393.1,-0.056061731,0.015434462
NP_057501.2,0.105407082,0.031136874
NP_001008697.1,-0.017630081,0.003818652
NP_001159864.1,-0.167795665,0.127556198
XP_005258776.1,0.032226607,0.010223904
NP_001035957.1,0.380478483,0.080198907
NP_001651.1,5.33E-05,1.69E-05
NP_001018114.1,0.175655026,0.043694571
NP_001138356.1,0.116016787,0.036288675
NP_001350777.1,0.287566447,0.337365633
NP_004773.1,0.069741886,0.019309359
NP_055203.4,0.337257431,0.113433417
NP_071344.1,-0.053655013,0.016619716
NP_003822.2,0.2969411,0.068657551
NP_055569.1,0.363751447,0.072429968
NP_006433.2,-0.425946178,0.102483109
NP_056345.3,0.050419456,0.025854245
NP_001023.1,-0.129340402,0.075657153
NP_075565.2,0.039664715,0.032757998
XP_011509096.1,-0.320788319,0.083117387
NP_001288784.1,-0.079316342,0.013608496
XP_024309460.1,0.01786887,0.00521571
XP_016862903.1,0.042284451,0.012387746
NP_060272.3,0.425926525,0.150342376
NP_060695.2,-0.190709034,0.30724741
NP_001028284.1,-0.227478929,0.056606865
NP_057130.1,-0.112933483,0.027622096
XP_016873596.1,0.217774771,0.056816207
NP_054753.1,0.057677418,0.014602385
XP_005264930.1,0.245182722,0.084028238
NP_057715.2,0.156302442,0.049628967
XP_005261339.1,0.363548373,0.12541199
NP_003623.1,0.048352284,0.010696572
NP_001349898.1,0.075610719,0.019665839
XP_011507965.1,0.144935778,0.036121475
NP_001601.1,0.174617602,0.049022808
NP_001307192.1,0.15482532,0.034365984
NP_008937.1,-0.09431463,0.044619598
NP_001287848.1,0.122346907,0.036614082
NP_115729.1,-0.14403942,0.038081309
NP_001006109.1,0.272093912,0.086604681
NP_059973.4,-0.219435493,0.06796468
NP_056299.1,-0.379650537,0.095793446
NP_001244031.1,-0.600882647,0.203263826
NP_945327.3,0.236486452,0.048903341
NP_005919.2,0.532325958,0.178330125
NP_938408.1,-0.231001793,0.078103011
NP_001165948.1,-0.279982128,0.065315644
NP_064632.2,-0.504472799,0.172726411
XP_016883895.1,-0.558148826,0.171778266
NP_003052.2,1.163489562,0.335053424
NP_001177921.1,0.661206962,0.232451832
NP_060347.2,0.222807527,0.063426204
XP_024304767.1,0.284167332,0.098548243
NP_001093139.1,-0.447407784,0.15715744
NP_006311.3,0.145390995,0.075464845
NP_061846.2,0.339303488,0.106911199
XP_011532415.1,0.165302784,0.032441051
NP_510966.1,-0.303890989,0.082946477
NP_060587.8,0.019965986,0.003328703
NP_003970.1,0.076383429,0.022575438
NP_006300.1,0.474581206,0.153753705
NP_277040.1,0.026002024,0.008286776
XP_016864840.1,0.276719945,0.066061692
NP_055050.1,-0.096168981,0.030526836
NP_002405.1,-0.900219265,0.225393285
NP_002159.2,0.401397547,0.141459917
NP_078824.2,0.063700042,0.014139624
NP_056997.1,-0.038411888,0.017996142
NP_001307585.1,-0.166491755,0.053317191
NP_006507.2,-0.006969341,0.001617037
XP_016876857.1,0.556930855,0.197105949
NP_001001888.3,0.050869474,0.009093712
NP_003892.2,0.290573303,0.075634156
XP_011528076.1,-0.371327744,0.118406658
NP_001191786.1,0.440056555,0.157481565
NP_003174.3,-0.080928115,0.02379269
NP_002220.1,0.324003682,0.111103686
NP_001265488.1,0.042490736,0.013580843
XP_011535422.1,-0.685525036,0.175329893
NP_002077.1,0.021447607,0.005493624
NP_001304941.1,0.308657066,0.107326645
NP_001335.1,0.123136377,0.032242082
NP_060263.2,0.128401008,0.029662109
NP_056943.1,0.121863925,0.033317105
NP_001357372.1,-1.572061338,0.415308815
NP_001186125.1,-0.029310018,0.006784034
NP_001318.1,-0.372289546,0.112257332
NP_001299602.1,0.297108493,0.059503444
NP_000103.2,-0.358566508,0.091704464
NP_006822.1,0.056315595,0.018217908
NP_009006.2,0.106656678,0.029049861
NP_037374.1,-0.39866556,0.208890826
NP_008896.2,-0.294075945,0.095847804
NP_003162.2,0.04665921,0.008627795
NP_835227.1,0.018329089,0.00401249
NP_056018.2,0.227902891,0.071899551
NP_001303936.1,0.60470245,0.141006367
NP_001041706.1,0.046058827,0.014737718
NP_006653.2,0.530385418,0.187820502
NP_004996.1,-0.149439927,0.037812805
NP_955376.1,0.227064756,0.077630191
NP_004887.2,0.252395666,0.061048923
XP_005263479.1,0.161085232,0.033031145
NP_000302.1,0.311894234,0.059274368
NP_443731.2,0.330045652,0.089433194
NP_001131026.1,0.121922399,0.033450258
NP_004880.1,-0.235843658,0.079997055
NP_001073153.1,-0.058550242,0.018577954
NP_076423.2,0.134976798,0.042148721
NP_851939.1,-0.350176222,0.092872979
NP_001248757.1,-0.201852487,0.067115822
NP_004519.1,0.172825366,0.116136223
NP_000989.1,-0.406307116,0.080101909
XP_011524725.1,0.059935066,0.022940078
NP_054905.2,0.052541245,0.014504903
XP_005255285.3,-0.136760166,0.040399124
NP_757385.1,0.281257043,0.076754429
NP_055976.1,-0.162838915,0.054287859
NP_001269580.1,-0.337069873,0.104496815
NP_001988.1,-0.082907694,0.033032122
NP_038476.2,0.104496515,0.026965823
NP_001007068.1,0.694565009,0.182507956
NP_005086.2,0.010014827,0.002487074
NP_001112362.1,0.679654521,0.168182905
NP_002507.1,-0.361119762,0.204015377
XP_016874949.1,-0.059336105,0.092923714
XP_011518282.1,0.730557865,0.242252017
NP_067041.1,-1.01306582,0.354319697
XP_024307309.1,0.111137584,0.026067021
NP_852136.1,0.179511353,0.060154935
NP_821158.2,0.096233794,0.031497075
NP_036588.1,-0.204331089,0.069004638
NP_001305832.1,0.537580608,0.194635305
XP_011523408.1,-0.255201146,0.085599285
XP_016862457.1,-2.177382142,0.536690763
NP_115810.2,-1.23810717,1.08618669
NP_001154.2,-0.254634992,0.050567301
XP_011543064.1,2.226358293,0.405955907
NP_665813.1,0.617856262,0.135797629
XP_005252324.1,-1.690755523,0.424932867
NP_060590.1,-0.41110012,0.080191739
XP_005257875.1,-0.049093127,0.02737002
